"acfrequency";"number";"r Ganho";"i Ganho"
1.22462e+09;1;-2.69766;0
1.2331e+09;1;-2.8155;0
1.24165e+09;1;-2.93465;0
1.25026e+09;1;-3.05509;0
1.25893e+09;1;-3.17678;0
1.26765e+09;1;-3.29968;0
1.27644e+09;1;-3.42378;0
1.28529e+09;1;-3.54903;0
1.2942e+09;1;-3.6754;0
1.30317e+09;1;-3.80287;0
1.3122e+09;1;-3.93141;0
1.3213e+09;1;-4.06097;0
1.33045e+09;1;-4.19154;0
1.33968e+09;1;-4.32309;0
1.34896e+09;1;-4.45558;0
1.35831e+09;1;-4.589;0
1.36773e+09;1;-4.72331;0
1.37721e+09;1;-4.85849;0
1.38676e+09;1;-4.99451;0
1.39637e+09;1;-5.13135;0
1.40605e+09;1;-5.26898;0
1.41579e+09;1;-5.40738;0
1.42561e+09;1;-5.54654;0
1.43549e+09;1;-5.68642;0
1.44544e+09;1;-5.82701;0
1.45546e+09;1;-5.96828;0
1.46555e+09;1;-6.11023;0
1.47571e+09;1;-6.25282;0
1.48594e+09;1;-6.39605;0
1.49624e+09;1;-6.53989;0
1.50661e+09;1;-6.68433;0
1.51705e+09;1;-6.82935;0
1.52757e+09;1;-6.97494;0
1.53815e+09;1;-7.12109;0
1.54882e+09;1;-7.26778;0
1.55955e+09;1;-7.415;0
1.57036e+09;1;-7.56274;0
1.58125e+09;1;-7.71099;0
1.59221e+09;1;-7.85974;0
1.60325e+09;1;-8.00897;0
1.61436e+09;1;-8.15868;0
1.62555e+09;1;-8.30886;0
1.63682e+09;1;-8.4595;0
1.64816e+09;1;-8.6106;0
1.65959e+09;1;-8.76215;0
1.67109e+09;1;-8.91415;0
1.68267e+09;1;-9.06658;0
1.69434e+09;1;-9.21945;0
1.70608e+09;1;-9.37275;0
1.71791e+09;1;-9.52648;0
1.72982e+09;1;-9.68063;0
1.74181e+09;1;-9.8352;0
1.75388e+09;1;-9.9902;0
1.76604e+09;1;-10.1456;0
1.77828e+09;1;-10.3015;0
1.79061e+09;1;-10.4577;0
1.80302e+09;1;-10.6144;0
1.81552e+09;1;-10.7715;0
1.8281e+09;1;-10.929;0
1.84077e+09;1;-11.087;0
1.85353e+09;1;-11.2453;0
1.86638e+09;1;-11.4041;0
1.87932e+09;1;-11.5634;0
1.89234e+09;1;-11.7231;0
1.90546e+09;1;-11.8832;0
1.91867e+09;1;-12.0437;0
1.93197e+09;1;-12.2048;0
1.94536e+09;1;-12.3663;0
1.95884e+09;1;-12.5282;0
1.97242e+09;1;-12.6906;0
1.98609e+09;1;-12.8535;0
1.99986e+09;1;-13.0169;0
2.01372e+09;1;-13.1808;0
2.02768e+09;1;-13.3452;0
2.04174e+09;1;-13.5101;0
2.05589e+09;1;-13.6756;0
2.07014e+09;1;-13.8415;0
2.08449e+09;1;-14.0081;0
2.09894e+09;1;-14.1751;0
2.11349e+09;1;-14.3428;0
2.12814e+09;1;-14.511;0
2.14289e+09;1;-14.6799;0
2.15774e+09;1;-14.8493;0
2.1727e+09;1;-15.0194;0
2.18776e+09;1;-15.1901;0
2.20293e+09;1;-15.3614;0
2.2182e+09;1;-15.5334;0
2.23357e+09;1;-15.7061;0
2.24905e+09;1;-15.8796;0
