"acfrequency";"number";"r Zin";"i Zin"
3.68129e+09;1;0.3711;-2.72215
3.68978e+09;1;0.3711;-2.68606
3.69828e+09;1;0.3711;-2.64999
3.70681e+09;1;0.3711;-2.61393
3.71535e+09;1;0.3711;-2.57789
3.72392e+09;1;0.3711;-2.54186
3.7325e+09;1;0.3711;-2.50584
3.74111e+09;1;0.3711;-2.46984
3.74973e+09;1;0.3711;-2.43385
3.75837e+09;1;0.3711;-2.39787
3.76704e+09;1;0.3711;-2.36191
3.77572e+09;1;0.3711;-2.32595
3.78443e+09;1;0.3711;-2.29001
3.79315e+09;1;0.3711;-2.25409
3.80189e+09;1;0.3711;-2.21817
3.81066e+09;1;0.3711;-2.18227
3.81944e+09;1;0.3711;-2.14637
3.82825e+09;1;0.3711;-2.11049
3.83707e+09;1;0.3711;-2.07462
3.84592e+09;1;0.3711;-2.03876
3.85478e+09;1;0.3711;-2.00292
3.86367e+09;1;0.3711;-1.96708
3.87258e+09;1;0.3711;-1.93125
3.8815e+09;1;0.3711;-1.89544
3.89045e+09;1;0.3711;-1.85963
3.89942e+09;1;0.3711;-1.82383
3.90841e+09;1;0.3711;-1.78804
3.91742e+09;1;0.3711;-1.75227
3.92645e+09;1;0.3711;-1.7165
3.9355e+09;1;0.3711;-1.68074
3.94457e+09;1;0.3711;-1.64499
3.95367e+09;1;0.3711;-1.60925
3.96278e+09;1;0.3711;-1.57351
3.97192e+09;1;0.3711;-1.53779
3.98107e+09;1;0.3711;-1.50207
3.99025e+09;1;0.3711;-1.46636
3.99945e+09;1;0.3711;-1.43066
4.00867e+09;1;0.3711;-1.39497
4.01791e+09;1;0.3711;-1.35928
4.02717e+09;1;0.3711;-1.3236
4.03645e+09;1;0.3711;-1.28793
4.04576e+09;1;0.3711;-1.25227
4.05509e+09;1;0.3711;-1.21661
4.06443e+09;1;0.3711;-1.18096
4.0738e+09;1;0.3711;-1.14531
4.08319e+09;1;0.3711;-1.10967
4.09261e+09;1;0.3711;-1.07404
4.10204e+09;1;0.3711;-1.03841
4.1115e+09;1;0.3711;-1.00279
4.12098e+09;1;0.3711;-0.967172
4.13048e+09;1;0.3711;-0.93156
4.14e+09;1;0.3711;-0.895953
4.14954e+09;1;0.3711;-0.860351
4.15911e+09;1;0.3711;-0.824753
4.16869e+09;1;0.3711;-0.78916
4.1783e+09;1;0.3711;-0.75357
4.18794e+09;1;0.3711;-0.717985
4.19759e+09;1;0.3711;-0.682404
4.20727e+09;1;0.3711;-0.646826
4.21697e+09;1;0.3711;-0.611252
4.22669e+09;1;0.3711;-0.575681
4.23643e+09;1;0.3711;-0.540113
4.2462e+09;1;0.3711;-0.504548
4.25598e+09;1;0.3711;-0.468985
4.2658e+09;1;0.3711;-0.433425
4.27563e+09;1;0.3711;-0.397868
4.28549e+09;1;0.3711;-0.362312
4.29536e+09;1;0.3711;-0.326759
4.30527e+09;1;0.3711;-0.291207
4.31519e+09;1;0.3711;-0.255656
4.32514e+09;1;0.3711;-0.220107
4.33511e+09;1;0.3711;-0.18456
4.3451e+09;1;0.3711;-0.149013
4.35512e+09;1;0.3711;-0.113467
4.36516e+09;1;0.3711;-0.0779211
4.37522e+09;1;0.3711;-0.0423761
4.38531e+09;1;0.3711;-0.00683124
4.39542e+09;1;0.3711;0.0287135
4.40555e+09;1;0.3711;0.0642585
4.4157e+09;1;0.3711;0.0998038
4.42588e+09;1;0.3711;0.13535
4.43609e+09;1;0.3711;0.170896
4.44631e+09;1;0.3711;0.206444
4.45656e+09;1;0.3711;0.241992
4.46684e+09;1;0.3711;0.277542
4.47713e+09;1;0.3711;0.313093
4.48745e+09;1;0.3711;0.348646
4.4978e+09;1;0.3711;0.384201
4.50817e+09;1;0.3711;0.419758
4.51856e+09;1;0.3711;0.455317
4.52898e+09;1;0.3711;0.490878
4.53942e+09;1;0.3711;0.526442
4.54988e+09;1;0.3711;0.562009
4.56037e+09;1;0.3711;0.597579
4.57088e+09;1;0.3711;0.633152
